epoch,train_mse,val_mse,val_r2
1,0.007428939640522003,0.003054469901447495,-78.65796355082152
2,0.0028173733968287706,0.0029513168847188354,-67.91702766490344
3,0.0012447936809621752,0.0011419896812488635,-27.568454764267667
4,0.000754660411621444,0.001158734376076609,-28.510149935868743
5,0.0004651310504414141,0.0009234339037599663,-22.46707164265697
6,0.00028474907448980955,0.0007053820299915969,-17.847708957889523
7,0.00023980457917787134,0.0008089057713126143,-20.096953394854467
8,0.00015719240400358103,0.0007758226517277459,-18.57119992771394
9,0.00011057213341700845,0.0006428212703516086,-15.284693238806899
10,9.620401469874195e-05,0.0006987618592878183,-16.704465653423178
11,7.667671561648604e-05,0.0005991483922116458,-14.3110178035371
12,6.326048096525483e-05,0.0005503421028455099,-13.079304892323576
13,5.438722946564667e-05,0.0005506440065801144,-13.020099520331954
14,4.314358357078163e-05,0.0005591734273669621,-13.208029534225217
15,3.746947440959047e-05,0.0004782548542910566,-11.202858603539442
16,4.052728691021912e-05,0.0005366613428729276,-12.465508815599863
17,3.7407385752885604e-05,0.000474137826434647,-11.06381803203644
18,3.0228478044591613e-05,0.0004471389305156966,-10.16770323707476
19,2.7860015416081295e-05,0.00043235828828377026,-9.843818667939347
20,2.0447557835723275e-05,0.0003807116881944239,-8.826972631932124
21,2.029375591519056e-05,0.00040271000276940566,-9.0452745267909
22,1.768097490639775e-05,0.0003906040607641141,-8.777472170117742
23,1.5964674685164936e-05,0.0003880135773215443,-8.634917619029947
24,1.760503246259759e-05,0.00037088973719316226,-8.289175164575447
25,1.7007560199999715e-05,0.00035641972984497744,-7.908686868219329
26,1.5120642319743639e-05,0.0003588253360552092,-7.947405785836068
27,1.365410166727088e-05,0.00037792293005622923,-8.118556489534855
28,1.2250444569872343e-05,0.000359325766718636,-7.774193125370974
29,1.059163541867747e-05,0.00034402394279216725,-7.431427185773133
30,8.099169644992798e-06,0.0003219590095492701,-6.929944694423325
31,6.9611165372407415e-06,0.00032756003201939166,-6.984803985444516
32,6.434673036892491e-06,0.0003106404813782622,-6.5602449170051065
33,5.8739795349538325e-06,0.0002963179334377249,-6.281850463000051
34,6.612361767110997e-06,0.00029286861051029217,-6.086943597663475
35,5.662720900545537e-06,0.0002944217703770846,-6.0950072745722625
36,4.979997004284087e-06,0.00029364117654040456,-6.040983291085384
37,5.020752223572345e-06,0.0002833138229713465,-5.801203786220597
38,4.678107961808564e-06,0.0002735301871628811,-5.555384238604131
39,3.7345192140492143e-06,0.00026910264568869025,-5.398616302533293
40,4.019881521344359e-06,0.0002561282696357618,-5.135304548637311
41,4.002693958682357e-06,0.00025173854858924943,-4.992059260912584
42,3.4997651823687194e-06,0.0002519000311925386,-4.991681680932648
43,3.517784762152587e-06,0.00024206087497683862,-4.714585883535822
44,3.6608102732316183e-06,0.00023824866608871767,-4.709837651649549
45,3.5968317206425125e-06,0.00023381276211390892,-4.455426484177417
46,3.369539103914576e-06,0.0002217601480272909,-4.339875774841487
47,3.7918994735264278e-06,0.00022501185109528402,-4.238863121951574
48,3.7747293276879646e-06,0.000211716581058378,-4.074252772864859
49,3.3297605568805013e-06,0.0002066630549961701,-3.8507945253474727
50,3.571398474377929e-06,0.00019805234721085677,-3.704145543654225
51,3.0253060685936363e-06,0.0001992154041848456,-3.6710035737202062
52,2.946183747098985e-06,0.00018626148327408978,-3.44795287432905
53,3.0991287303550054e-06,0.00019512877042870969,-3.5463564857883796
54,2.75751871186003e-06,0.00017764821435169628,-3.1778714799340415
55,2.907363534632168e-06,0.00019031333310219148,-3.4604378158181968
56,3.1684087616667966e-06,0.00017230161756742746,-3.0174667318051
57,2.3243899136105027e-06,0.0001750302326399833,-3.095146988964612
58,2.3987804752323426e-06,0.0001695914591740196,-2.92338552165749
59,2.4707993929951045e-06,0.00015829158655833453,-2.753280293049691
60,2.564120126180569e-06,0.00016831646886809418,-2.8724457476637073
61,2.5870478339129475e-06,0.000149302805463473,-2.580925903926207
62,2.3347747514890214e-06,0.00015827899430102357,-2.6522165171455203
63,2.3816171164980914e-06,0.000143375204061158,-2.392455091388205
64,2.433015390579385e-06,0.00014547706814482808,-2.3937515378815317
65,2.0214488472447558e-06,0.0001353159653566157,-2.2138822369218762
66,2.1199137449912087e-06,0.00014106398642373583,-2.310152968564115
67,2.3473611804547546e-06,0.00013912943056008467,-2.2494777114075832
68,2.29818431307649e-06,0.00012978579858706021,-2.0454082013027355
69,2.8890289968330763e-06,0.0001336895365966484,-2.137842209916888
70,2.7510831046129168e-06,0.00012247859073492387,-1.8873322903915035
71,3.2096337577058877e-06,0.00012934192636748776,-1.9773615877944537
72,2.776627684397681e-06,0.00011543166571451972,-1.7904169608699991
73,2.7909886625820944e-06,0.00012074745851956929,-1.810545970706991
74,2.2121749907455523e-06,0.0001109479174677593,-1.6335841318349975
75,2.1306166331669376e-06,0.0001128441338854221,-1.6444934891874703
76,1.967040145700594e-06,0.0001050478094839491,-1.512636051029586
77,1.9729824884962e-06,0.00010332304858214532,-1.462468061206748
78,2.170120558275812e-06,0.00010053055545237537,-1.3692032988567955
79,2.2997748828856857e-06,0.00010340956214349717,-1.5003146977641313
80,1.9073808061875752e-06,9.718280489323661e-05,-1.3119556459079913
81,1.7022419626755437e-06,9.548210800858214e-05,-1.283990896424457
82,1.5892277644979913e-06,9.271427552448586e-05,-1.2055871407297651
83,1.4510303742554243e-06,9.061536790492634e-05,-1.182821178578482
84,1.5611525782333048e-06,8.797946550960963e-05,-1.0802484444145621
85,1.4853914649393118e-06,8.619566021176676e-05,-1.0800964399625128
86,1.4637947060691659e-06,7.973837879641603e-05,-0.9372142008489612
87,1.5947261772453204e-06,8.063612767728046e-05,-0.9272109653320177
88,2.1174827907088913e-06,7.955517624698889e-05,-0.8967781733549698
89,4.4344085267766785e-06,7.523698999042001e-05,-0.8094468013673055
90,3.3284786582044033e-06,7.918270421214402e-05,-0.8749041388602852
91,3.1156747922977957e-06,6.634097129184131e-05,-0.6313496218436225
92,2.515772348488099e-06,7.477353331826937e-05,-0.7813895875892174
93,2.477626310337655e-06,6.598821225149247e-05,-0.5828290659486441
94,2.6315711977531465e-06,6.833917602004173e-05,-0.6261425998363306
95,2.2602156263928917e-06,6.584537065161082e-05,-0.5623233762187891
96,1.8894616346187832e-06,5.991855505271815e-05,-0.4377637186797132
97,1.6428764752163262e-06,6.0378439229680225e-05,-0.42781088479583196
98,1.5134475290778937e-06,5.7796073330488675e-05,-0.3810543171994494
99,1.7929906391600524e-06,5.735356899094768e-05,-0.35118433457074727
100,2.011790758160714e-06,5.320594209479168e-05,-0.2783680260468655
101,2.1670845399057725e-06,5.501817698435237e-05,-0.2858814893151813
102,1.8344686111504417e-06,4.9340938858222216e-05,-0.21682630867995312
103,1.8882396489061648e-06,5.315713739643494e-05,-0.2359087026964013
104,1.5030262943582783e-06,4.878062221299236e-05,-0.1473767913254771
105,1.1588776317239534e-06,4.6708448887026556e-05,-0.1050643609191686
106,1.2625180147551874e-06,4.5543769374489784e-05,-0.07873595902934549
107,1.3293090432853205e-06,4.6176516965109236e-05,-0.08284896760660532
108,1.3391786751526523e-06,4.292526500648819e-05,-0.017070469232191243
109,1.2645683682421804e-06,4.186233733586656e-05,0.00765042817133299
110,1.3529987427318702e-06,4.0257898338798746e-05,0.04895588168117282
111,1.2994352402984077e-06,3.937282356976842e-05,0.06441726635136868
112,1.3289486332723755e-06,4.0169048588722944e-05,0.06658876698840577
113,1.787563104471701e-06,3.8018675695639104e-05,0.09237413388144322
114,1.5644200402675778e-06,3.780967623849089e-05,0.1240311024261962
115,1.4817584713000542e-06,3.6775440094061196e-05,0.13966181690422286
116,1.299196117088286e-06,3.5247230092257574e-05,0.17360097732599977
117,1.18727915605632e-06,3.4359947070091344e-05,0.19210891658920315
118,1.3364737640131353e-06,3.492696911659247e-05,0.19078863952698177
119,1.4311917027498566e-06,3.173145402494507e-05,0.23779888616379818
120,1.333532384251157e-06,3.253182815872909e-05,0.23510836370560872
121,1.3530764249480853e-06,2.963844114371265e-05,0.29722196989056604
122,1.5436944181601574e-06,3.311313169736726e-05,0.2460752162121349
123,1.5261216958606383e-06,2.8502941859187558e-05,0.3224754401768247
124,1.3287453100474522e-06,2.9333276567437377e-05,0.3247802576615094
125,1.28751798911253e-06,2.5960259639153566e-05,0.382002830681339
126,1.1370423692369513e-06,2.674004645086825e-05,0.37926364017521874
127,8.76779682812412e-07,2.5895023403184798e-05,0.3947844241269115
128,9.6835830731834e-07,2.5166027626255527e-05,0.4047127082354456
129,1.0806107525240804e-06,2.4043548667881016e-05,0.4348373615854474
130,9.272352428979503e-07,2.384435113829871e-05,0.44162598850214807
131,9.32843494183544e-07,2.385421491150434e-05,0.44546531759280683
132,8.385247099340631e-07,2.2378326624069207e-05,0.4725499496810167
133,7.718727658811986e-07,2.2191103804895345e-05,0.4850724275217366
134,7.676815755530697e-07,2.145052227812509e-05,0.4984712018376176
135,7.996297313184186e-07,2.0732756941773307e-05,0.5098642435837516
136,7.690183451813937e-07,2.105649006504488e-05,0.5155637239150992
137,7.493507894196227e-07,1.9614925198159956e-05,0.5376510593640289
138,7.962468686173452e-07,1.8911092411144637e-05,0.5512648081232824
139,7.726855415057799e-07,1.907913883769652e-05,0.5571659110852705
140,7.524902628119889e-07,1.782841233458991e-05,0.5806452063273619
141,7.36344313168047e-07,1.7868353097583167e-05,0.5841855641469385
142,6.988714744693425e-07,1.6779539691924583e-05,0.6015046817205888
143,7.249641271300789e-07,1.694296012525835e-05,0.6040568404255697
144,7.756312271567367e-07,1.6654033364223626e-05,0.6131016069540931
145,8.759800721236388e-07,1.5477879060199484e-05,0.6328868147402483
146,7.508926671562222e-07,1.527654421806801e-05,0.6414668810794321
147,7.756196225727762e-07,1.524164963484509e-05,0.6454669170528188
148,7.864919609801291e-07,1.4408017098806644e-05,0.6605283247150138
149,7.851145142012683e-07,1.3917607854333861e-05,0.671473664714693
150,7.676147561141988e-07,1.3254186342237517e-05,0.6880438862209646
151,7.167933631535561e-07,1.3003035443640934e-05,0.6924143446442429
152,7.08496975221351e-07,1.2803815783020886e-05,0.6990575818165861
153,7.067211726052846e-07,1.2239235426629117e-05,0.7128915298743942
